state,maturity_pct,total_enrollment,total_updates
Delhi,13527.821812466798,92838.0,2251610.0
Chhattisgarh,7872.989468903585,99773.0,3980480.0
Madhya Pradesh,6688.075873089933,487892.0,7924371.0
Haryana,5674.718903883402,95085.0,2426107.0
Uttar Pradesh,5359.916093572444,1002631.0,15827594.0
Chandigarh,5348.687714825307,2620.0,130947.0
Jharkhand,5196.206211334387,153612.0,3061268.0
Maharashtra,5051.026693182736,351787.0,12381877.0
Bihar,4805.544230261388,466802.0,5973642.0
Manipur,4277.380482583454,13199.0,509282.0
Rajasthan,4169.085976485678,310250.0,5442721.0
Jammu And Kashmir,3594.9928924412357,47638.0,1066345.0
Tripura,3340.6708164499546,11008.0,389907.0
Punjab,3197.069819958492,75773.0,2360017.0
Dadra And Nagar Haveli And Daman And Diu,3101.085167785235,1782.0,48095.0
Uttarakhand,2989.257626123783,36956.0,1078217.0
Gujarat,2985.822706975654,275042.0,4506003.0
Mizoram,2854.8329419439006,5774.0,150716.0
Odisha,2505.6695267506884,120454.0,3276382.0
Tamil Nadu,2260.620805348313,215710.0,6258746.0
Andhra Pradesh,2257.1598922169837,124273.0,5252918.0
West Bengal,2181.5235766374685,369249.0,5326540.0
Telangana,2166.969991353306,128948.0,2913870.0
Nagaland,1828.028008348241,15429.0,135826.0
Karnataka,1804.5672736790873,219618.0,3856875.0
Assam,1634.959068389293,225359.0,1700247.0
Kerala,1567.864542066516,73950.0,2159550.0
Arunachal Pradesh,1530.3911007288357,4240.0,98450.0
Pondicherry,1508.8527200619076,2983.0,93299.0
Goa,1236.0903566730012,2280.0,94245.0
Himachal Pradesh,1214.5130624656026,16909.0,501077.0
Andaman And Nicobar Islands,1196.983964556962,501.0,25222.0
Meghalaya,1034.8311662531019,109239.0,150515.0
Ladakh,936.3056923076923,617.0,10135.0
Sikkim,930.3887897378695,2175.0,37789.0
Lakshadweep,769.3183959537572,199.0,5658.0
